BOTTLE,20020821WHPSIOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: Aug. 21, 2002
#original HYD file: a16chy.txt   Wed Aug 21 13:32:50 2002
#original SUM file: a16csu.txt   Sun Sep 16 23:17:58 2001
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,THETA
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UATM,,DEG_C,DEG C
   318MHYDROS4,  A16C,   309,  1,     25,     25,2,19890314,1747,-34.7283, -52.0150,  261,      2.0,  25.0695,  35.6470,2,  35.6490,2,    209.8,2,     1.95,2,     0.00,2,     0.00,2,     0.10,2, -999.000,9, -999.000,9,   2007.5,2,    292.6,2,   20.00, 25.0691
   318MHYDROS4,  A16C,   309,  1,     26,     26,2,19890314,1747,-34.7283, -52.0150,  261,     22.8,  24.9242,  36.2535,2,  36.1920,2,    219.7,2,     1.95,2,     0.00,2,     0.00,2,     0.07,2,    1.637,2,    0.882,2,   2025.6,2,    294.0,2,   20.00, 24.9192
   318MHYDROS4,  A16C,   309,  1,     27,     27,2,19890314,1747,-34.7283, -52.0150,  261,     43.4,  25.1229,  36.7218,2,  36.7010,2,    217.5,2,     1.95,2,     0.00,2,     0.00,2,     0.04,2, -999.000,9, -999.000,9,   -999.9,9,   -999.9,9, -999.90, 25.1134
   318MHYDROS4,  A16C,   309,  1,     28,     28,2,19890314,1747,-34.7283, -52.0150,  261,     64.1,  25.1468,  36.7934,2,  36.7950,2,    221.0,2,     1.95,2,     0.00,2,     0.00,2,     0.04,2,    1.648,2,    0.875,2,   2044.9,2,    309.3,2,   20.00, 25.1327
   318MHYDROS4,  A16C,   309,  1,     29,     29,2,19890314,1747,-34.7283, -52.0150,  261,     85.1,  23.7850,  36.7069,2,  36.7050,2,    221.8,2,     1.95,2,     0.00,2,     0.00,2,     0.05,2, -999.000,9, -999.000,9,   -999.9,9,   -999.9,9, -999.90, 23.7670
   318MHYDROS4,  A16C,   309,  1,     30,     30,2,19890314,1747,-34.7283, -52.0150,  261,    105.6,  21.0318,  36.3942,2,  36.4640,2,    236.0,2,     1.85,2,     0.00,2,     0.00,2,     0.06,2,    1.893,2,    0.997,2,   -999.9,9,   -999.9,9, -999.90, 21.0115
   318MHYDROS4,  A16C,   309,  1,     31,     31,2,19890314,1747,-34.7283, -52.0150,  261,    126.6,  19.7682,  36.2432,2,  36.2820,2,    221.2,2,     1.85,2,     0.10,2,     0.04,2,     0.12,2, -999.000,9, -999.000,9,   2062.7,2,    335.8,2,   20.00, 19.7448
   318MHYDROS4,  A16C,   309,  1,     32,     32,2,19890314,1747,-34.7283, -52.0150,  261,    147.1,  18.4063,  35.9877,2,  36.0250,2,    195.9,2,     4.69,2,     2.25,2,     0.08,2,     0.33,2,    1.887,2,    0.975,2,   -999.9,9,   -999.9,9, -999.90, 18.3805
   318MHYDROS4,  A16C,   309,  1,     33,     33,2,19890314,1747,-34.7283, -52.0150,  261,    182.4,  17.3901,  35.8576,2,  35.8570,2,    192.8,2,     4.69,2,     3.61,2,     0.05,2,     0.44,2, -999.000,9, -999.000,9,   2094.0,2,    407.7,2,   20.00, 17.3593
   318MHYDROS4,  A16C,   309,  1,     34,     34,2,19890314,1747,-34.7283, -52.0150,  261,    207.7,  17.1549,  35.8343,2,  35.8320,2,    195.4,2,     4.00,2,     3.71,2,     0.04,2,     0.43,2,    1.913,6,    0.999,6,   -999.9,9,   -999.9,9, -999.90, 17.1202
   318MHYDROS4,  A16C,   309,  1,     35,     35,2,19890314,1747,-34.7283, -52.0150,  261,    233.3,  17.0653,  35.8247,2,  35.8220,2,    195.0,2,     4.00,2,     3.81,2,     0.04,2,     0.44,2, -999.000,9, -999.000,9,   2086.9,2,    428.6,2,   20.00, 17.0264
   318MHYDROS4,  A16C,   309,  1,     36,     36,2,19890314,1747,-34.7283, -52.0150,  261,    256.4,  10.0325,  34.8348,2,  34.8270,2,    204.0,2,     8.80,2,    17.59,2,     0.03,2,     1.27,2,    1.389,6,    0.693,6,   2136.0,2,    647.6,2,   20.00, 10.0027
   318MHYDROS4,  A16C,   310,  1,     20,     20,2,19890314,1958,-34.8567, -51.9233, 1018,      3.2,  24.5214,  36.3670,2,  36.3660,2,    216.6,2,     1.85,2,     0.00,2,     0.00,2,     0.05,2,    1.682,6,    0.893,6,   2033.0,2,    284.1,2,   20.00, 24.5207
   318MHYDROS4,  A16C,   310,  1,     21,     21,2,19890314,1958,-34.8567, -51.9233, 1018,     34.4,  24.8571,  36.6185,2,  36.6010,2,    217.5,2,     1.85,2,     0.00,2,     0.00,2,     0.04,2, -999.000,9, -999.000,9,   2039.9,2,    283.2,2,   20.00, 24.8496
   318MHYDROS4,  A16C,   310,  1,     22,     22,2,19890314,1958,-34.8567, -51.9233, 1018,     65.2,  24.0537,  36.8414,2,  36.8420,2,    229.2,2,     1.66,2,     0.00,2,     0.00,2,     0.03,2,    1.749,2,    0.915,2,   2050.3,2,    287.1,2,   20.00, 24.0399
   318MHYDROS4,  A16C,   310,  1,     23,     23,2,19890314,1958,-34.8567, -51.9233, 1018,     85.9,  22.3586,  36.8401,2,  36.8430,2,    223.4,2,     1.66,2,     0.00,2,     0.00,2,     0.04,2, -999.000,9, -999.000,9,   2069.0,2,    297.3,2,   20.00, 22.3413
   318MHYDROS4,  A16C,   310,  1,     24,     24,2,19890314,1958,-34.8567, -51.9233, 1018,    106.0,  21.5664,  36.7345,2,  36.7250,2,    219.0,2,     1.66,2,     0.00,2,     0.06,2,     0.08,2,    1.844,2,    0.968,2,   2073.2,2,    315.8,2,   20.00, 21.5456
   318MHYDROS4,  A16C,   310,  1,     25,     25,2,19890314,1958,-34.8567, -51.9233, 1018,    157.8,  20.2180,  36.4576,2,  36.4730,2,    209.0,2,     1.66,2,     0.88,2,     0.02,2,     0.15,2,    1.879,2,    0.966,2,   2074.5,2,    340.2,2,   20.00, 20.1883
   318MHYDROS4,  A16C,   310,  1,     26,     26,2,19890314,1958,-34.8567, -51.9233, 1018,    208.6,  16.7339,  35.8383,2,  35.8370,2,    211.1,2,     2.05,2,     2.73,2,     0.02,2,     0.32,2,    2.091,6,    1.067,6,   2085.3,2,    394.8,2,   20.00, 16.6996
   318MHYDROS4,  A16C,   310,  1,     27,     27,2,19890314,1958,-34.8567, -51.9233, 1018,    259.8,  15.2244,  35.5588,2,  35.5620,2,    208.4,2,     2.64,2,     5.27,2,     0.01,2,     0.48,2,    1.961,2,    0.994,2,   2091.2,2,    451.9,2,   20.00, 15.1844
   318MHYDROS4,  A16C,   310,  1,     28,     28,2,19890314,1958,-34.8567, -51.9233, 1018,    310.8,  14.0970,  35.3879,2,  35.3890,2,    208.8,2,     3.22,2,     7.52,2,     0.01,2,     0.62,2,    1.904,2,    0.959,2,   2099.0,2,    467.5,2,   20.00, 14.0515
   318MHYDROS4,  A16C,   310,  1,     29,     29,2,19890314,1958,-34.8567, -51.9233, 1018,    410.4,  11.6630,  35.0506,2,  35.0490,2,    206.2,2,     5.77,2,    13.00,2,     0.01,2,     1.00,2,    1.605,2,    0.800,2,   2117.4,2,    566.0,2,   20.00, 11.6099
   318MHYDROS4,  A16C,   310,  1,     30,     30,2,19890314,1958,-34.8567, -51.9233, 1018,    459.9,   8.6657,  34.6673,2,  34.6670,2,    205.7,2,     9.87,2,    20.23,2,     0.01,2,     1.45,2, -999.000,9, -999.000,9,   2143.5,2,    706.1,2,   20.00,  8.6164
   318MHYDROS4,  A16C,   310,  1,     31,     31,2,19890314,1958,-34.8567, -51.9233, 1018,    510.8,   7.5562,  34.5511,2,  34.5540,2,    208.7,2,    12.22,2,    22.87,2,     0.01,2,     1.59,2,    1.132,2,    0.555,2,   2143.7,2,    758.0,2,   20.00,  7.5055
   318MHYDROS4,  A16C,   310,  1,     32,     32,2,19890314,1958,-34.8567, -51.9233, 1018,    612.5,   5.8291,  34.3658,2,  34.3700,2,    229.6,2,    14.57,2,    25.32,2,     0.00,2,     1.75,2, -999.000,9, -999.000,9,   2150.4,2,    789.1,2,   20.00,  5.7760
   318MHYDROS4,  A16C,   310,  1,     33,     33,2,19890314,1958,-34.8567, -51.9233, 1018,    713.1,   4.7155,  34.2371,2,  34.2360,2,    256.5,2,    15.74,2,    25.81,2,     0.00,2,     1.80,2,    2.504,2,    1.172,2,   2152.1,2,    786.8,2,   20.00,  4.6594
   318MHYDROS4,  A16C,   310,  1,     34,     34,2,19890314,1958,-34.8567, -51.9233, 1018,    811.8,   4.2541,  34.2429,2,  34.2400,2,    247.0,2,    21.22,2,    27.96,2,     0.00,2,     1.96,2,    1.986,2,    0.933,2,   2163.8,2,    790.1,2,   20.00,  4.1926
   318MHYDROS4,  A16C,   310,  1,     35,     35,2,19890314,1958,-34.8567, -51.9233, 1018,    927.7,   3.9564,  34.2548,2,  34.2520,2,    239.1,2,    25.42,2,    29.33,2,     0.00,2,     2.05,2,    1.631,2,    0.760,2,   2176.8,2,   -999.9,9, -999.90,  3.8874
   318MHYDROS4,  A16C,   310,  1,     36,     36,2,19890314,1958,-34.8567, -51.9233, 1018,   1023.2,   3.8112,  34.2679,2,  34.2640,2,    233.5,2,    28.16,2,    29.92,2,     0.00,2,     2.09,2,    1.380,6,    0.640,6,   2176.4,2,    888.1,2,   20.00,  3.7355
   318MHYDROS4,  A16C,   311,  1,     20,     20,2,19890315,0245,-35.0650, -51.7067, 1801,     10.3,  25.1032,  36.7705,2,  36.7710,2,    207.0,2,     1.37,2,     0.00,2,     0.00,2,     0.04,2,    1.630,2,    0.874,2,   2048.8,2,    283.6,2,   20.00, 25.1009
