BOTTLE,20020821WHPSIO
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20020821
#original HYD file: a16nhy.txt   Wed Aug 21 13:33:22 2002
#original SUM file: a16nsu.txt   Wed Aug 21 13:34:13 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,CTDOXY,OXYGEN,SILCAT,NITRAT,NITRIT,PHSPHT,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,THETA
,,,,,,,,,,,DBAR,IPTS-68,PSS-78,PSS-78,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,PMOL/KG,,PMOL/KG,,IPTS-68
     32OC202_1,  A16N,     1,  1,      1,      1,19880723,2117, 63.3300, -19.9983,  199,      3.3,  10.6570,-999.0000,  34.8450,   -999.0,    298.8,  -999.00,  -999.00,  -999.00,  -999.00,    3.580,2,    1.714,2, 10.6570
     32OC202_1,  A16N,     1,  1,      2,      2,19880723,2117, 63.3300, -19.9983,  199,     28.6,  10.1280,-999.0000,  34.9090,   -999.0,    280.9,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9, 10.1250
     32OC202_1,  A16N,     1,  1,      3,      3,19880723,2117, 63.3300, -19.9983,  199,     44.8,  10.1710,-999.0000,  35.0620,   -999.0,    280.5,  -999.00,  -999.00,  -999.00,  -999.00,    4.083,4,    2.038,4, 10.1660
     32OC202_1,  A16N,     1,  1,      4,      4,19880723,2117, 63.3300, -19.9983,  199,     69.9,   8.1550,-999.0000,  35.0980,   -999.0,    269.1,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  8.1480
     32OC202_1,  A16N,     1,  1,      5,      5,19880723,2117, 63.3300, -19.9983,  199,     94.8,   7.6020,-999.0000,  35.1290,   -999.0,    263.0,  -999.00,  -999.00,  -999.00,  -999.00,    3.550,2,    1.680,2,  7.5930
     32OC202_1,  A16N,     1,  1,     19,     19,19880723,2117, 63.3300, -19.9983,  199,    119.8,   7.5350,  35.1310,-999.0000,   -999.0,    262.1,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.5240
     32OC202_1,  A16N,     1,  1,     21,     21,19880723,2117, 63.3300, -19.9983,  199,    119.8,   7.5350,-999.0000,  35.1330,   -999.0,    261.2,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.5240
     32OC202_1,  A16N,     1,  1,     18,     18,19880723,2117, 63.3300, -19.9983,  199,    119.9,   7.5360,-999.0000,  35.1310,   -999.0,    261.7,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  7.5250
     32OC202_1,  A16N,     1,  1,     22,     22,19880723,2117, 63.3300, -19.9983,  199,    145.1,   7.5040,-999.0000,  35.1330,   -999.0,    261.7,  -999.00,  -999.00,  -999.00,  -999.00,    3.756,2,    1.653,2,  7.4900
