BOTTLE,20010917WHPSIOSCD
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20010917
#original HYD file: a16shy.txt   Mon Sep 17 08:37:13 2001
#original SUM file: a16ssu.txt   Mon Sep 17 08:37:13 2001
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,THETA
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,DEG C
     318MSAVE5,  A16S,   236,  1,      1,      1,2,19890127,0022,-36.0017,   0.9850, 4949,     11.5,  19.9042,  35.4823,2,  35.4830,2,    233.5,2,     1.37,2,     0.00,2,     0.00,2,     0.18,2,    2.096,2,    1.066,2, 19.9021
     318MSAVE5,  A16S,   236,  1,      2,      2,2,19890127,0022,-36.0017,   0.9850, 4949,     22.0,  19.7199,  35.4994,2,  35.4950,2,    236.1,2,     1.27,2,     0.00,2,     0.00,2,     0.17,2,    2.122,2,    1.104,2, 19.7159
     318MSAVE5,  A16S,   236,  1,      3,      3,2,19890127,0022,-36.0017,   0.9850, 4949,     32.1,  19.1193,  35.4564,2,  35.4580,2,    242.2,2,     1.27,2,     0.10,2,     0.00,2,     0.16,2,    2.225,2,    1.148,2, 19.1136
     318MSAVE5,  A16S,   236,  1,      4,      4,2,19890127,0022,-36.0017,   0.9850, 4949,     40.6,  17.5635,  35.3622,2,  35.3590,2,    256.0,2,     1.47,2,     0.10,2,  -999.00,9,     0.17,2,    2.329,2,    1.188,2, 17.5567
     318MSAVE5,  A16S,   236,  1,      5,      5,2,19890127,0022,-36.0017,   0.9850, 4949,     58.1,  16.0326,  35.3464,2,  35.3420,2,    259.0,2,     1.27,2,     0.10,2,     0.00,2,     0.17,2,    2.451,2,    1.255,2, 16.0234
     318MSAVE5,  A16S,   236,  1,      6,      6,2,19890127,0022,-36.0017,   0.9850, 4949,     91.1,  15.0096,  35.3049,2,  35.3020,2,    243.3,2,     1.47,2,     0.98,2,     0.12,2,     0.26,2,    2.394,2,    1.219,2, 14.9958
     318MSAVE5,  A16S,   236,  1,      7,      7,2,19890127,0022,-36.0017,   0.9850, 4949,    160.3,  13.3703,  35.0246,2,  35.0260,2,    237.6,2,     1.66,2,     4.69,2,     0.01,2,     0.47,2,    2.583,2,    1.306,2, 13.3478
     318MSAVE5,  A16S,   236,  1,      8,      8,2,19890127,0022,-36.0017,   0.9850, 4949,    186.9,  13.2126,  35.0958,2,  35.0990,2,    221.0,2,     2.54,2,     7.33,2,  -999.00,9,     0.61,2,    2.278,2,    1.160,2, 13.1866
     318MSAVE5,  A16S,   236,  1,      9,      9,2,19890127,0022,-36.0017,   0.9850, 4949,    219.1,  12.7505,  35.0669,2,  35.0660,2,    221.9,2,     2.54,2,     8.21,2,     0.01,2,     0.66,2,    2.308,2,    1.178,2, 12.7207
